"player_name","team_abbreviation","age","player_height","player_weight","country","draft_number","gp","pts","reb","ast","ts_pct","from_US","draft_year_cat","is_tall","sc_level"
"O.G. Anunoby","TOR",25,200.66,105.233344,"United Kingdom",23,67,16.8,5,2,0.586,0,"Prime",0,"High"
"Norman Powell","LAC",30,193.04,97.52228,"USA",46,60,17,2.9,1.8,0.612,1,"Prime",0,"High"
"Noah Vonleh","BOS",27,208.28,116.573144,"USA",9,23,1.1,2.1,0.3,0.502,1,"Veteran",1,"Low"
"Nikola Vucevic","CHI",32,208.28,117.93392,"Montenegro",16,82,17.6,11,3.2,0.594,0,"Veteran",1,"High"
"Nikola Jovic","MIA",20,208.28,92.98636,"Serbia",27,15,5.5,2.1,0.7,0.53,0,"Young",1,"Low"
"Nikola Jokic","DEN",28,210.82,128.820128,"Serbia",41,69,24.5,11.8,9.8,0.701,0,"Veteran",1,"High"
"Nicolas Batum","LAC",34,203.2,104.32616,"France",25,78,6.1,3.8,1.6,0.594,0,"Veteran",1,"Low"
"Nickeil Alexander-Walker","MIN",24,195.58,92.98636,"Canada",17,59,6.2,1.7,1.8,0.565,0,"Early Prime",0,"Low"
"Nic Claxton","BKN",24,210.82,97.52228,"USA",31,76,12.6,9.2,1.9,0.691,1,"Early Prime",1,"High"
"Sandro Mamukelashvili","SAS",24,208.28,108.86208,"Georgia",54,43,6.1,4.3,1.4,0.516,0,"Young",1,"Low"
"Scottie Barnes","TOR",21,203.2,102.0582,"USA",4,77,15.3,6.6,4.8,0.524,1,"Young",1,"High"
"Vernon Carey Jr.","UTA",22,208.28,122.46984,"USA",32,11,0.5,1,0.3,0.338,1,"Early Prime",1,"Low"
"Usman Garuba","HOU",21,203.2,103.872568,"Spain",23,75,3,4.1,0.9,0.569,0,"Young",1,"Low"
"Udoka Azubuike","UTA",23,210.82,122.46984,"Nigeria",27,36,3.5,3.3,0.3,0.774,0,"Early Prime",1,"Low"
"Tyus Jones","MEM",27,187.96,88.904032,"USA",24,80,10.3,2.5,5.2,0.546,1,"Prime",0,"Medium"
"Tyrese Maxey","PHI",22,187.96,90.7184,"USA",21,60,20.3,2.9,3.5,0.605,1,"Early Prime",0,"High"
"Tyrese Martin","ATL",24,198.12,97.52228,"USA",51,16,1.3,0.8,0.1,0.44,1,"Young",0,"Low"
"Tyrese Haliburton","IND",23,195.58,83.91452,"USA",12,56,20.7,3.7,10.4,0.624,1,"Early Prime",0,"High"
"Tyler Herro","MIA",23,195.58,88.45044,"USA",13,67,20.1,5.4,4.2,0.566,1,"Early Prime",0,"High"
"Tyler Dorsey","DAL",27,193.04,81.64656,"USA",41,3,3,0.7,0,0.9,1,"Prime",0,"Low"
"TyTy Washington Jr.","HOU",21,190.5,88.45044,"USA",29,31,4.7,1.5,1.5,0.432,1,"Young",0,"Low"
